APID,Vendor,InvoiceDate,DueDate,Amount,Currency,Status,PaidDate,Terms,invoice_month,invoice_dayofweek,is_weekend,amount_usd,anomaly,type
AP10048,Global Office,2025-03-17,2025-04-16,2307.05,CAD,Paid,2025-04-16,Net 30,3,0,0,1684.1465,False,Normal
AP10049,BluePrints,2023-09-28,2023-10-28,728.35,GBP,Paid,2023-10-28,Net 30,9,3,0,910.4375,False,Normal
AP10050,Fast Travel,2025-05-24,2025-06-23,3580.44,GBP,Open,,Net 30,5,5,1,4475.55,False,Normal
AP10051,BluePrints,2024-03-31,2024-04-30,1527.67,AUD,Paid,2024-04-30,Net 30,3,6,1,992.9855000000001,False,Normal
AP10052,BluePrints,2023-04-23,2023-05-23,3014.35,CAD,Paid,2023-05-23,Net 30,4,6,1,2200.4755,False,Normal
AP10053,ABC Supplies,2023-08-24,2023-09-23,3099.88,CAD,Partial,,Net 30,8,3,0,2262.9124,False,Normal
AP10054,BluePrints,2023-05-09,2023-06-08,1484.54,AUD,Partial,,Net 30,5,1,0,964.951,False,Normal
AP10055,TechMart,2023-12-19,2024-01-18,2922.4,AUD,Partial,,Net 30,12,1,0,1899.5600000000002,False,Normal
AP10056,Global Office,2023-11-08,2023-12-08,422.98,USD,Paid,2023-12-08,Net 30,11,2,0,422.98,False,Normal
AP10057,BluePrints,2023-01-03,2023-02-02,2784.23,USD,Partial,,Net 30,1,1,0,2784.23,False,Normal
AP10058,TechMart,2024-06-19,2024-07-19,2946.12,CAD,Open,,Net 30,6,2,0,2150.6675999999998,False,Normal
AP10059,BluePrints,2025-03-09,2025-04-08,578.58,GBP,Partial,,Net 30,3,6,1,723.225,False,Normal
AP10060,BluePrints,2024-05-28,2024-06-27,3849.56,GBP,Paid,2024-06-27,Net 30,5,1,0,4811.95,False,Normal
AP10061,BluePrints,2024-04-26,2024-05-26,2055.53,CAD,Partial,,Net 30,4,4,0,1500.5369,False,Normal
AP10062,ABC Supplies,2023-02-24,2023-03-26,2185.32,AUD,Paid,2023-03-26,Net 30,2,4,0,1420.458,False,Normal
AP10063,BluePrints,2025-02-15,2025-03-17,3382.98,GBP,Paid,2025-03-17,Net 30,2,5,1,4228.725,False,Normal
AP10064,Fast Travel,2024-04-22,2024-05-22,3571.55,GBP,Partial,,Net 30,4,0,0,4464.4375,False,Normal
AP10065,ABC Supplies,2025-04-15,2025-05-15,2137.45,USD,Open,,Net 30,4,1,0,2137.45,False,Normal
AP10066,TechMart,2025-02-09,2025-03-11,3793.28,USD,Paid,2025-03-11,Net 30,2,6,1,3793.28,False,Normal
AP10067,BluePrints,2025-01-03,2025-02-02,2973.27,CAD,Paid,2025-02-02,Net 30,1,4,0,2170.4871,False,Normal
AP10068,BluePrints,2024-07-24,2024-08-23,4968.32,USD,Open,,Net 30,7,2,0,4968.32,False,Normal
AP10069,BluePrints,2023-02-01,2023-03-03,4336.91,USD,Open,,Net 30,2,2,0,4336.91,False,Normal
AP10070,TechMart,2024-12-03,2025-01-02,2479.95,USD,Paid,2025-01-02,Net 30,12,1,0,2479.95,False,Normal
AP10071,TechMart,2025-06-13,2025-07-13,2498.69,USD,Open,,Net 30,6,4,0,2498.69,False,Normal
AP10072,Fast Travel,2024-11-01,2024-12-01,2106.66,CAD,Paid,2024-12-01,Net 30,11,4,0,1537.8618,False,Normal
AP10073,BluePrints,2023-06-15,2023-07-15,2082.92,AUD,Partial,,Net 30,6,3,0,1353.8980000000001,False,Normal
AP10074,ABC Supplies,2023-09-18,2023-10-18,3536.09,USD,Paid,2023-10-18,Net 30,9,0,0,3536.09,False,Normal
AP10075,BluePrints,2025-01-04,2025-02-03,3984.82,CAD,Open,,Net 30,1,5,1,2908.9186,False,Normal
AP10076,TechMart,2023-05-22,2023-06-21,1175.94,USD,Partial,,Net 30,5,0,0,1175.94,False,Normal
AP10077,Global Office,2024-09-21,2024-10-21,1596.04,AUD,Paid,2024-10-21,Net 30,9,5,1,1037.426,False,Normal
AP10078,Global Office,2024-04-19,2024-05-19,1687.52,USD,Paid,2024-05-19,Net 30,4,4,0,1687.52,False,Normal
AP10079,Global Office,2023-08-23,2023-09-22,1247.56,USD,Paid,2023-09-22,Net 30,8,2,0,1247.56,False,Normal
AP10080,ABC Supplies,2025-06-03,2025-07-03,3330.96,AUD,Partial,,Net 30,6,1,0,2165.1240000000003,False,Normal
AP10081,TechMart,2024-09-26,2024-10-26,1612.59,EUR,Open,,Net 30,9,3,0,1741.5972,False,Normal
AP10082,Global Office,2024-06-15,2024-07-15,1096.08,CAD,Partial,,Net 30,6,5,1,800.1383999999999,False,Normal
AP10083,ABC Supplies,2024-05-11,2024-06-10,1927.05,USD,Partial,,Net 30,5,5,1,1927.05,False,Normal
AP10084,ABC Supplies,2023-06-05,2023-07-05,1169.93,USD,Open,,Net 30,6,0,0,1169.93,False,Normal
AP10085,TechMart,2025-06-12,2025-07-12,662.31,GBP,Open,,Net 30,6,3,0,827.8874999999999,False,Normal
AP10086,TechMart,2023-07-04,2023-08-03,3443.5,CAD,Paid,2023-08-03,Net 30,7,1,0,2513.755,False,Normal
AP10087,TechMart,2024-06-13,2024-07-13,3290.86,CAD,Paid,2024-07-13,Net 30,6,3,0,2402.3278,False,Normal
AP10088,TechMart,2025-03-21,2025-04-20,1872.61,EUR,Open,,Net 30,3,4,0,2022.4188,False,Normal
AP10089,TechMart,2024-08-16,2024-09-15,307.49,GBP,Open,,Net 30,8,4,0,384.3625,False,Normal
AP10090,TechMart,2024-04-21,2024-05-21,211.08,AUD,Partial,,Net 30,4,6,1,137.20200000000003,False,Normal
AP10091,TechMart,2023-02-09,2023-03-11,2052.01,EUR,Open,,Net 30,2,3,0,2216.1708000000003,False,Normal
AP10092,TechMart,2023-05-25,2023-06-24,4091.87,AUD,Open,,Net 30,5,3,0,2659.7155,False,Normal
AP10093,Global Office,2023-10-28,2023-11-27,1321.04,AUD,Open,,Net 30,10,5,1,858.676,False,Normal
AP10094,BluePrints,2023-06-11,2023-07-11,4205.21,AUD,Paid,2023-07-11,Net 30,6,6,1,2733.3865,False,Normal
AP10095,Fast Travel,2024-05-14,2024-06-13,4804.12,CAD,Open,,Net 30,5,1,0,3507.0076,False,Normal
AP10096,Fast Travel,2024-05-30,2024-06-29,2179.34,USD,Paid,2024-06-29,Net 30,5,3,0,2179.34,False,Normal
AP10097,ABC Supplies,2024-02-28,2024-03-29,2918.59,CAD,Open,,Net 30,2,2,0,2130.5707,False,Normal
AP10098,Global Office,2024-10-03,2024-11-02,4508.92,CAD,Paid,2024-11-02,Net 30,10,3,0,3291.5116,False,Normal
AP10099,BluePrints,2023-07-27,2023-08-26,3543.69,EUR,Partial,,Net 30,7,3,0,3827.1852000000003,False,Normal
AP10100,Global Office,2024-09-19,2024-10-19,3606.75,AUD,Open,,Net 30,9,3,0,2344.3875000000003,False,Normal
AP10101,Global Office,2025-06-30,2025-07-30,3518.19,USD,Partial,,Net 30,6,0,0,3518.19,False,Normal
AP10102,Fast Travel,2024-12-27,2025-01-26,4853.53,CAD,Open,,Net 30,12,4,0,3543.0768999999996,False,Normal
AP10103,BluePrints,2024-08-29,2024-09-28,4099.79,EUR,Partial,,Net 30,8,3,0,4427.7732000000005,False,Normal
AP10104,BluePrints,2023-02-01,2023-03-03,3167.66,CAD,Paid,2023-03-03,Net 30,2,2,0,2312.3918,False,Normal
AP10105,Global Office,2023-04-08,2023-05-08,4646.98,EUR,Partial,,Net 30,4,5,1,5018.7384,False,Normal
AP10106,TechMart,2024-09-17,2024-10-17,4202.61,GBP,Open,,Net 30,9,1,0,5253.2625,False,Normal
AP10107,TechMart,2023-11-20,2023-12-20,1491.57,EUR,Paid,2023-12-20,Net 30,11,0,0,1610.8956,False,Normal
AP10108,BluePrints,2024-02-17,2024-03-18,2302.71,USD,Paid,2024-03-18,Net 30,2,5,1,2302.71,False,Normal
AP10109,Global Office,2025-05-10,2025-06-09,222.31,EUR,Partial,,Net 30,5,5,1,240.09480000000002,False,Normal
AP10110,Global Office,2024-11-25,2024-12-25,1191.67,GBP,Open,,Net 30,11,0,0,1489.5875,False,Normal
AP10111,Global Office,2023-12-13,2024-01-12,3805.91,CAD,Paid,2024-01-12,Net 30,12,2,0,2778.3143,False,Normal
AP10112,TechMart,2023-04-12,2023-05-12,945.2,USD,Partial,,Net 30,4,2,0,945.2,False,Normal
AP10113,Global Office,2024-01-20,2024-02-19,2517.47,CAD,Partial,,Net 30,1,5,1,1837.7531,False,Normal
AP10114,TechMart,2024-11-29,2024-12-29,4131.71,USD,Partial,,Net 30,11,4,0,4131.71,False,Normal
AP10115,TechMart,2024-03-19,2024-04-18,1116.42,CAD,Open,,Net 30,3,1,0,814.9866000000001,False,Normal
AP10116,TechMart,2023-09-24,2023-10-24,4575.27,CAD,Open,,Net 30,9,6,1,3339.9471000000003,False,Normal
AP10117,TechMart,2023-02-16,2023-03-18,1514.17,CAD,Open,,Net 30,2,3,0,1105.3441,False,Normal
AP10118,BluePrints,2023-08-14,2023-09-13,4267.03,CAD,Open,,Net 30,8,0,0,3114.9318999999996,False,Normal
AP10119,Fast Travel,2025-01-28,2025-02-27,4482.04,GBP,Partial,,Net 30,1,1,0,5602.55,True,Anomaly
AP10120,TechMart,2024-04-30,2024-05-30,1407.76,GBP,Paid,2024-05-30,Net 30,4,1,0,1759.7,False,Normal
AP10121,ABC Supplies,2023-11-23,2023-12-23,2739.91,EUR,Open,,Net 30,11,3,0,2959.1028,False,Normal
AP10122,BluePrints,2025-03-13,2025-04-12,2094.14,GBP,Partial,,Net 30,3,3,0,2617.6749999999997,False,Normal
AP10123,TechMart,2024-12-21,2025-01-20,1636.17,GBP,Open,,Net 30,12,5,1,2045.2125,False,Normal
AP10124,Fast Travel,2023-10-05,2023-11-04,1052.47,AUD,Partial,,Net 30,10,3,0,684.1055,False,Normal
AP10125,Fast Travel,2023-09-17,2023-10-17,4195.09,AUD,Open,,Net 30,9,6,1,2726.8085,False,Normal
AP10126,ABC Supplies,2023-01-14,2023-02-13,2545.81,USD,Partial,,Net 30,1,5,1,2545.81,False,Normal
AP10127,Global Office,2024-04-14,2024-05-14,993.34,AUD,Partial,,Net 30,4,6,1,645.671,False,Normal
AP10128,Global Office,2023-06-14,2023-07-14,834.51,GBP,Partial,,Net 30,6,2,0,1043.1375,False,Normal
AP10129,Global Office,2023-12-26,2024-01-25,2107.58,USD,Partial,,Net 30,12,1,0,2107.58,False,Normal
AP10130,TechMart,2025-05-05,2025-06-04,1874.69,USD,Open,,Net 30,5,0,0,1874.69,False,Normal
AP10131,Global Office,2024-06-28,2024-07-28,4388.51,EUR,Paid,2024-07-28,Net 30,6,4,0,4739.590800000001,False,Normal
AP10132,Fast Travel,2024-03-14,2024-04-13,125.24,CAD,Partial,,Net 30,3,3,0,91.42519999999999,False,Normal
AP10133,ABC Supplies,2024-04-10,2024-05-10,1249.89,AUD,Open,,Net 30,4,2,0,812.4285000000001,False,Normal
AP10134,ABC Supplies,2024-12-05,2025-01-04,4937.78,EUR,Open,,Net 30,12,3,0,5332.8024000000005,False,Normal
AP10135,BluePrints,2024-03-30,2024-04-29,2379.18,AUD,Paid,2024-04-29,Net 30,3,5,1,1546.4669999999999,False,Normal
AP10136,BluePrints,2023-12-05,2024-01-04,4032.55,CAD,Paid,2024-01-04,Net 30,12,1,0,2943.7615,False,Normal
AP10137,TechMart,2024-07-21,2024-08-20,3922.59,AUD,Paid,2024-08-20,Net 30,7,6,1,2549.6835,False,Normal
AP10138,TechMart,2023-09-05,2023-10-05,3377.42,GBP,Paid,2023-10-05,Net 30,9,1,0,4221.775,False,Normal
AP10139,Global Office,2024-12-12,2025-01-11,3927.21,EUR,Partial,,Net 30,12,3,0,4241.3868,False,Normal
AP10140,Global Office,2024-04-18,2024-05-18,4292.35,CAD,Open,,Net 30,4,3,0,3133.4155,False,Normal
AP10141,Fast Travel,2025-06-19,2025-07-19,3350.66,USD,Partial,,Net 30,6,3,0,3350.66,False,Normal
AP10142,TechMart,2023-05-28,2023-06-27,4762.47,USD,Partial,,Net 30,5,6,1,4762.47,False,Normal
AP10143,TechMart,2023-08-01,2023-08-31,1589.97,AUD,Open,,Net 30,8,1,0,1033.4805000000001,False,Normal
AP10144,ABC Supplies,2024-06-24,2024-07-24,2206.4,GBP,Partial,,Net 30,6,0,0,2758.0,False,Normal
AP10145,Global Office,2023-11-28,2023-12-28,2642.46,GBP,Paid,2023-12-28,Net 30,11,1,0,3303.075,False,Normal
AP10146,TechMart,2024-04-10,2024-05-10,2413.9,CAD,Partial,,Net 30,4,2,0,1762.147,False,Normal
AP10147,Global Office,2023-08-16,2023-09-15,2803.47,USD,Partial,,Net 30,8,2,0,2803.47,False,Normal
AP10148,Fast Travel,2023-09-30,2023-10-30,3709.9,EUR,Partial,,Net 30,9,5,1,4006.6920000000005,False,Normal
AP10149,ABC Supplies,2024-06-13,2024-07-13,4721.15,AUD,Paid,2024-07-13,Net 30,6,3,0,3068.7475,False,Normal
AP10150,TechMart,2023-08-06,2023-09-05,1555.44,USD,Partial,,Net 30,8,6,1,1555.44,False,Normal
AP10151,ABC Supplies,2024-04-08,2024-05-08,2731.15,USD,Paid,2024-05-08,Net 30,4,0,0,2731.15,False,Normal
AP10152,BluePrints,2024-11-26,2024-12-26,3600.41,CAD,Partial,,Net 30,11,1,0,2628.2992999999997,False,Normal
AP10153,BluePrints,2023-03-05,2023-04-04,1532.1,EUR,Paid,2023-04-04,Net 30,3,6,1,1654.6680000000001,False,Normal
AP10154,Fast Travel,2024-07-02,2024-08-01,3671.9,USD,Open,,Net 30,7,1,0,3671.9,False,Normal
AP10155,ABC Supplies,2024-02-23,2024-03-24,249.12,USD,Open,,Net 30,2,4,0,249.12,False,Normal
AP10156,Global Office,2024-10-02,2024-11-01,1247.49,EUR,Partial,,Net 30,10,2,0,1347.2892000000002,False,Normal
AP10157,Global Office,2023-06-04,2023-07-04,4374.63,USD,Partial,,Net 30,6,6,1,4374.63,False,Normal
AP10158,Global Office,2023-04-28,2023-05-28,3691.12,EUR,Partial,,Net 30,4,4,0,3986.4096,False,Normal
AP10159,Global Office,2024-05-31,2024-06-30,4217.39,AUD,Paid,2024-06-30,Net 30,5,4,0,2741.3035000000004,False,Normal
AP10160,Fast Travel,2023-10-05,2023-11-04,4642.36,CAD,Open,,Net 30,10,3,0,3388.9228,False,Normal
AP10161,BluePrints,2025-03-18,2025-04-17,3580.35,AUD,Partial,,Net 30,3,1,0,2327.2275,False,Normal
AP10162,TechMart,2024-02-03,2024-03-04,3588.69,AUD,Partial,,Net 30,2,5,1,2332.6485000000002,False,Normal
AP10163,TechMart,2024-10-21,2024-11-20,2407.4,CAD,Partial,,Net 30,10,0,0,1757.402,False,Normal
AP10164,TechMart,2023-04-01,2023-05-01,649.78,CAD,Partial,,Net 30,4,5,1,474.33939999999996,False,Normal
AP10165,ABC Supplies,2024-09-14,2024-10-14,143.83,CAD,Paid,2024-10-14,Net 30,9,5,1,104.9959,False,Normal
AP10166,Global Office,2025-06-05,2025-07-05,1041.99,USD,Open,,Net 30,6,3,0,1041.99,False,Normal
AP10167,BluePrints,2023-06-11,2023-07-11,2826.0,CAD,Open,,Net 30,6,6,1,2062.98,False,Normal
AP10168,BluePrints,2024-12-11,2025-01-10,3078.5,GBP,Paid,2025-01-10,Net 30,12,2,0,3848.125,False,Normal
AP10169,Fast Travel,2025-04-01,2025-05-01,3139.88,AUD,Partial,,Net 30,4,1,0,2040.9220000000003,False,Normal
AP10170,TechMart,2023-04-27,2023-05-27,4899.64,AUD,Paid,2023-05-27,Net 30,4,3,0,3184.7660000000005,False,Normal
AP10171,BluePrints,2024-12-09,2025-01-08,3205.33,USD,Partial,,Net 30,12,0,0,3205.33,False,Normal
AP10172,ABC Supplies,2024-11-09,2024-12-09,1285.77,USD,Partial,,Net 30,11,5,1,1285.77,False,Normal
AP10173,BluePrints,2025-06-20,2025-07-20,216.78,USD,Partial,,Net 30,6,4,0,216.78,False,Normal
AP10174,TechMart,2023-03-05,2023-04-04,4512.77,CAD,Partial,,Net 30,3,6,1,3294.3221000000003,False,Normal
AP10175,Fast Travel,2023-11-11,2023-12-11,4283.63,AUD,Paid,2023-12-11,Net 30,11,5,1,2784.3595,False,Normal
AP10176,BluePrints,2024-09-29,2024-10-29,370.46,CAD,Paid,2024-10-29,Net 30,9,6,1,270.4358,False,Normal
AP10177,Global Office,2024-06-10,2024-07-10,3313.07,EUR,Open,,Net 30,6,0,0,3578.1156000000005,False,Normal
AP10178,ABC Supplies,2023-11-23,2023-12-23,4616.42,USD,Paid,2023-12-23,Net 30,11,3,0,4616.42,False,Normal
AP10179,ABC Supplies,2023-03-13,2023-04-12,1731.08,USD,Open,,Net 30,3,0,0,1731.08,False,Normal
AP10180,BluePrints,2025-02-05,2025-03-07,4027.83,CAD,Partial,,Net 30,2,2,0,2940.3159,False,Normal
AP10181,TechMart,2024-07-25,2024-08-24,1770.47,CAD,Paid,2024-08-24,Net 30,7,3,0,1292.4431,False,Normal
AP10182,Fast Travel,2024-12-20,2025-01-19,4140.83,EUR,Paid,2025-01-19,Net 30,12,4,0,4472.0964,False,Normal
AP10183,ABC Supplies,2025-04-16,2025-05-16,606.74,EUR,Partial,,Net 30,4,2,0,655.2792000000001,False,Normal
AP10184,TechMart,2023-02-04,2023-03-06,3488.56,GBP,Open,,Net 30,2,5,1,4360.7,False,Normal
AP10185,ABC Supplies,2025-06-22,2025-07-22,816.61,CAD,Open,,Net 30,6,6,1,596.1253,False,Normal
AP10186,BluePrints,2024-05-02,2024-06-01,2178.88,GBP,Paid,2024-06-01,Net 30,5,3,0,2723.6000000000004,False,Normal
AP10187,Fast Travel,2023-12-19,2024-01-18,4356.53,USD,Partial,,Net 30,12,1,0,4356.53,False,Normal
AP10188,BluePrints,2024-04-17,2024-05-17,2905.63,AUD,Open,,Net 30,4,2,0,1888.6595000000002,False,Normal
AP10189,Global Office,2024-05-02,2024-06-01,940.95,CAD,Paid,2024-06-01,Net 30,5,3,0,686.8935,False,Normal
AP10190,ABC Supplies,2023-02-17,2023-03-19,4744.18,AUD,Partial,,Net 30,2,4,0,3083.717,False,Normal
AP10191,Global Office,2025-02-22,2025-03-24,147.49,AUD,Paid,2025-03-24,Net 30,2,5,1,95.86850000000001,False,Normal
AP10192,TechMart,2025-06-09,2025-07-09,495.23,CAD,Partial,,Net 30,6,0,0,361.5179,False,Normal
AP10193,Global Office,2023-05-30,2023-06-29,2497.87,GBP,Partial,,Net 30,5,1,0,3122.3374999999996,False,Normal
AP10194,TechMart,2024-06-11,2024-07-11,1407.52,CAD,Open,,Net 30,6,1,0,1027.4895999999999,False,Normal
AP10195,TechMart,2025-03-07,2025-04-06,2632.28,AUD,Partial,,Net 30,3,4,0,1710.9820000000002,False,Normal
AP10196,Fast Travel,2024-04-02,2024-05-02,3255.92,GBP,Open,,Net 30,4,1,0,4069.9,False,Normal
AP10197,BluePrints,2023-09-21,2023-10-21,392.7,USD,Paid,2023-10-21,Net 30,9,3,0,392.7,False,Normal
AP10198,Fast Travel,2024-04-06,2024-05-06,4366.65,USD,Partial,,Net 30,4,5,1,4366.65,False,Normal
AP10199,TechMart,2024-03-21,2024-04-20,1348.94,EUR,Paid,2024-04-20,Net 30,3,3,0,1456.8552000000002,False,Normal
AP10200,Global Office,2025-06-29,2025-07-29,4373.52,GBP,Open,,Net 30,6,6,1,5466.900000000001,False,Normal
AP10201,Global Office,2023-11-02,2023-12-02,3414.97,USD,Paid,2023-12-02,Net 30,11,3,0,3414.97,False,Normal
AP10202,Global Office,2025-01-08,2025-02-07,1646.53,CAD,Paid,2025-02-07,Net 30,1,2,0,1201.9669,False,Normal
AP10203,Fast Travel,2025-03-11,2025-04-10,2688.88,EUR,Open,,Net 30,3,1,0,2903.9904,False,Normal
AP10204,ABC Supplies,2023-01-07,2023-02-06,2187.09,AUD,Partial,,Net 30,1,5,1,1421.6085,False,Normal
AP10205,TechMart,2025-05-28,2025-06-27,3171.13,USD,Paid,2025-06-27,Net 30,5,2,0,3171.13,False,Normal
AP10206,BluePrints,2024-05-25,2024-06-24,2235.47,EUR,Paid,2024-06-24,Net 30,5,5,1,2414.3076,False,Normal
AP10207,BluePrints,2024-06-02,2024-07-02,4392.95,USD,Paid,2024-07-02,Net 30,6,6,1,4392.95,False,Normal
AP10208,Global Office,2023-10-05,2023-11-04,765.04,EUR,Paid,2023-11-04,Net 30,10,3,0,826.2432,False,Normal
AP10209,BluePrints,2024-04-10,2024-05-10,4435.17,USD,Open,,Net 30,4,2,0,4435.17,False,Normal
AP10210,BluePrints,2023-01-22,2023-02-21,2626.85,CAD,Open,,Net 30,1,6,1,1917.6004999999998,False,Normal
AP10211,BluePrints,2024-06-17,2024-07-17,4803.24,USD,Partial,,Net 30,6,0,0,4803.24,False,Normal
AP10212,Fast Travel,2024-07-23,2024-08-22,3007.22,USD,Paid,2024-08-22,Net 30,7,1,0,3007.22,False,Normal
AP10213,BluePrints,2025-02-16,2025-03-18,4929.75,CAD,Open,,Net 30,2,6,1,3598.7174999999997,False,Normal
AP10214,Fast Travel,2024-06-06,2024-07-06,1536.2,EUR,Partial,,Net 30,6,3,0,1659.0960000000002,False,Normal
AP10215,Fast Travel,2024-07-18,2024-08-17,2978.71,GBP,Partial,,Net 30,7,3,0,3723.3875,False,Normal
AP10216,Global Office,2024-02-04,2024-03-05,915.17,GBP,Paid,2024-03-05,Net 30,2,6,1,1143.9624999999999,False,Normal
AP10217,Fast Travel,2023-07-02,2023-08-01,3188.52,GBP,Partial,,Net 30,7,6,1,3985.65,False,Normal
